dataset_id,dataset_role,pocket_id,source_bus,load_bus,scenario_id,architecture,load_interface,load_boundary_voltage_v,voltage_support_location,voltage_support_role,var_coordination_risk,voltage_kv,vdc_pp_kv,corridor_length_km,current_limit_kA,short_circuit_gva,useful_mw,corridor_transfer_mw,loss_mw,efficiency_to_load_boundary,efficiency_to_800v,voltage_min_pu,line_loading_pct,line_current_kA,source_q_mvar,q_margin_mvar,stability_margin_mw,binding_constraint,converged,max_transfer_mw,binding_constraint_at_limit,first_violation_mw
A,Full Texas Combined T&D,A-mpc-0001,110001,110041,C0,C0/C1 Traditional 400 V AC,400 V AC facility distribution,400.0,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,138.0,,120.0,2.0,3.0,115.9765625,121.73498063015202,5.943248232880107,0.9512528095544582,0.9512528095544582,0.9505781212721024,27.335800206942935,0.5467160041388587,39.76388202001592,180.23611797998407,450.3422043868742,none,True,115.9765625,voltage_limit,118.4375
A,Full Texas Combined T&D,A-mpc-0001,110001,110041,C2,MV SST,800 V DC data-center interface,800.0,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",138.0,,120.0,2.0,3.0,189.8046875,195.25511421319797,9.67562776851367,0.9514958267662167,0.9514958267662167,0.9504516240410951,42.973694431476595,0.8594738886295319,37.18096951235238,182.81903048764764,376.8220708038282,none,True,189.8046875,voltage_limit,192.265625
A,Full Texas Combined T&D,A-mpc-0001,110001,110041,C3,Converted DC backbone,800 V DC data-center interface,800.0,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",138.0,276.0,120.0,2.0,3.0,544.1796875,551.8795104295125,35.66640741919389,0.9384898721717454,0.9384898721717454,0.995,99.9781721792595,1.9995634435851901,0.0,480.0,inf,none,True,544.1796875,dc_current_limit,546.640625
A,Full Texas Combined T&D,A-mpc-0002,110001,110113,C0,C0/C1 Traditional 400 V AC,400 V AC facility distribution,400.0,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,138.0,,17.063423999999998,2.0,3.0,445.7421875,458.69492892241993,15.642718702911305,0.9660961628943452,0.9660961628943452,0.9838012155668963,99.52239043745026,1.9904478087490052,113.42296190208434,106.57703809791566,5166.305071077581,none,True,445.7421875,thermal_current_limit,448.203125
A,Full Texas Combined T&D,A-mpc-0002,110001,110113,C2,MV SST,800 V DC data-center interface,800.0,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",138.0,,17.063423999999998,2.0,3.0,465.4296875,473.17744923857873,10.454907703427239,0.9780305817654003,0.9780305817654003,0.9920270281441981,99.77708791212059,1.9955417582424118,20.38492292460099,199.615077075399,5151.8225507614225,none,True,465.4296875,thermal_current_limit,467.890625
A,Full Texas Combined T&D,A-mpc-0002,110001,110113,C3,Converted DC backbone,800 V DC data-center interface,800.0,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",138.0,276.0,17.063423999999998,2.0,3.0,544.1796875,551.8795104295125,13.29851751544129,0.9761452243409714,0.9761452243409714,0.995,99.9781721792595,1.9995634435851901,0.0,480.0,inf,none,True,544.1796875,dc_current_limit,546.640625
A,Full Texas Combined T&D,A-mpc-0003,110001,230292,C0,C0/C1 Traditional 400 V AC,400 V AC facility distribution,400.0,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,138.0,,97.29579600000001,2.0,3.0,192.265625,197.56795374254236,10.223518676035589,0.9495107812180177,0.9495107812180177,0.9505260500420663,44.36665566477715,0.887333113295543,63.099931027425164,156.90006897257484,788.9264678663828,none,True,192.265625,voltage_limit,194.7265625
A,Full Texas Combined T&D,A-mpc-0003,110001,230292,C2,MV SST,800 V DC data-center interface,800.0,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",138.0,,97.29579600000001,2.0,3.0,305.46875,310.1205583756345,16.302600544942212,0.9493348288549226,0.9493348288549226,0.9503016659775898,68.26519846856336,1.3653039693712672,54.4094124216273,165.5905875783727,676.3738632332906,none,True,305.46875,voltage_limit,307.9296875
A,Full Texas Combined T&D,A-mpc-0003,110001,230292,C3,Converted DC backbone,800 V DC data-center interface,800.0,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",138.0,276.0,97.29579600000001,2.0,3.0,544.1796875,551.8795104295125,27.791684535270065,0.9514107070842065,0.9514107070842065,0.995,99.9781721792595,1.9995634435851901,0.0,480.0,inf,none,True,544.1796875,dc_current_limit,546.640625
A,Full Texas Combined T&D,A-mpc-0004,110001,270046,C0,C0/C1 Traditional 400 V AC,400 V AC facility distribution,400.0,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,138.0,,78.17562,2.0,3.0,273.4765625,281.52853802347397,13.173983786493952,0.9540416581891765,0.9540416581891765,0.9500674094271652,63.25170246716846,1.2650340493433692,94.69840267047604,125.30159732952396,946.242472938767,none,True,273.4765625,voltage_limit,275.9375
A,Full Texas Combined T&D,A-mpc-0004,110001,270046,C2,MV SST,800 V DC data-center interface,800.0,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",138.0,,78.17562,2.0,3.0,445.7421875,453.04013959390863,20.75648026052032,0.9555058102091392,0.9555058102091392,0.951374404267333,99.61288308168312,1.9922576616336625,93.08583529200449,126.91416470799551,774.7308713683324,none,True,445.7421875,thermal_current_limit,448.203125
A,Full Texas Combined T&D,A-mpc-0004,110001,270046,C3,Converted DC backbone,800 V DC data-center interface,800.0,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",138.0,276.0,78.17562,2.0,3.0,544.1796875,551.8795104295125,20.46849866267155,0.9637499966097922,0.9637499966097922,0.995,99.9781721792595,1.9995634435851901,0.0,480.0,inf,none,True,544.1796875,dc_current_limit,546.640625
A,Full Texas Combined T&D,A-mpc-0008,110005,110065,C0,C0/C1 Traditional 400 V AC,400 V AC facility distribution,400.0,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,138.0,,24.757199999999997,2.0,3.0,440.8203125,456.2173177538786,17.74829330143606,0.9612963184201903,0.9612963184201903,0.9744563706790295,99.93407149019048,1.9986814298038096,122.30835528253209,97.69164471746791,3420.7057591691987,none,True,440.8203125,thermal_current_limit,443.28125
A,Full Texas Combined T&D,A-mpc-0008,110005,110065,C2,MV SST,800 V DC data-center interface,800.0,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",138.0,,24.757199999999997,2.0,3.0,460.5078125,470.76062182741117,12.593104010551766,0.9733817805650543,0.9733817805650543,0.9863805365148411,99.83571301783164,1.9967142603566328,29.61110324100731,190.3888967589927,3406.162455095666,none,True,460.5078125,thermal_current_limit,462.96875
